Name	Parent	Desc	ParentDesc
HP:0000002	HP:0001507	Abnormality of body height	Growth abnormality
HP:0000003	HP:0000107	Multicystic kidney dysplasia	Renal cyst
HP:0000005	HP:0000001	Mode of inheritance	All
HP:0000006	HP:0000005	Autosomal dominant inheritance	Mode of inheritance
HP:0000007	HP:0000005	Autosomal recessive inheritance	Mode of inheritance
HP:0000008	HP:0000812	Abnormal morphology of female internal genitalia	Abnormal internal genitalia
HP:0000008	HP:0010460	Abnormal morphology of female internal genitalia	Abnormality of the female genitalia
HP:0000009	HP:0000014	Functional abnormality of the bladder	Abnormality of the bladder
HP:0000010	HP:0002719	Recurrent urinary tract infections	Recurrent infections
HP:0000010	HP:0011277	Recurrent urinary tract infections	Abnormality of the urinary system physiology
HP:0000011	HP:0000009	Neurogenic bladder	Functional abnormality of the bladder
HP:0000012	HP:0000009	Urinary urgency	Functional abnormality of the bladder
HP:0000013	HP:0008684	Hypoplasia of the uterus	Aplasia/hypoplasia of the uterus
HP:0000014	HP:0010936	Abnormality of the bladder	Abnormality of the lower urinary tract
HP:0000015	HP:0025487	Bladder diverticulum	Abnormality of bladder morphology
HP:0000016	HP:0000009	Urinary retention	Functional abnormality of the bladder
HP:0000017	HP:0000009	Nocturia	Functional abnormality of the bladder
HP:0000019	HP:0000009	Urinary hesitancy	Functional abnormality of the bladder
HP:0000020	HP:0000009	Urinary incontinence	Functional abnormality of the bladder
HP:0000020	HP:0031064	Urinary incontinence	Impaired continence
HP:0000021	HP:0010955	Megacystis	Dilatation of the bladder
HP:0000022	HP:0000812	Abnormality of male internal genitalia	Abnormal internal genitalia
HP:0000022	HP:0010461	Abnormality of male internal genitalia	Abnormality of the male genitalia
HP:0000023	HP:0004299	Inguinal hernia	Hernia of the abdominal wall
HP:0000024	HP:0008775	Prostatitis	Abnormal prostate morphology
HP:0000024	HP:0012649	Prostatitis	Increased inflammatory response
HP:0000025	HP:0012874	Functional abnormality of male internal genitalia	Abnormal male reproductive system physiology
HP:0000026	HP:0000025	Male hypogonadism	Functional abnormality of male internal genitalia
HP:0000026	HP:0000135	Male hypogonadism	Hypogonadism
HP:0000027	HP:0008669	Azoospermia	Abnormal spermatogenesis
HP:0000028	HP:0000035	Cryptorchidism	Abnormal testis morphology
HP:0000029	HP:0000035	Testicular atrophy	Abnormal testis morphology
HP:0000030	HP:0000150	Testicular gonadoblastoma	Gonadoblastoma
HP:0000030	HP:0010788	Testicular gonadoblastoma	Testicular neoplasm
HP:0000031	HP:0009714	Epididymitis	Abnormality of the epididymis
HP:0000031	HP:0012649	Epididymitis	Increased inflammatory response
HP:0000032	HP:0000811	Abnormality of male external genitalia	Abnormal external genitalia
HP:0000032	HP:0010461	Abnormality of male external genitalia	Abnormality of the male genitalia
HP:0000033	HP:0000032	Ambiguous genitalia, male	Abnormality of male external genitalia
HP:0000033	HP:0000062	Ambiguous genitalia, male	Ambiguous genitalia
HP:0000034	HP:0000035	Hydrocele testis	Abnormal testis morphology
HP:0000035	HP:0000032	Abnormal testis morphology	Abnormality of male external genitalia
HP:0000036	HP:0000032	Abnormality of the penis	Abnormality of male external genitalia
HP:0000037	HP:0000032	Male pseudohermaphroditism	Abnormality of male external genitalia
HP:0000039	HP:0100627	Epispadias	Displacement of the urethral meatus
