Name,Id,Title
HP:0000002,0,Abnormality of body height
HP:0000003,2,Multicystic kidney dysplasia
HP:0000008,4,Abnormality of female internal genitalia
HP:0000009,7,Functional abnormality of the bladder
HP:0000010,9,Recurrent urinary tract infections
HP:0000011,12,Neurogenic bladder
HP:0000012,13,Urinary urgency
HP:0000013,14,Hypoplasia of the uterus
HP:0000014,8,Abnormality of the bladder
HP:0000015,17,Bladder diverticulum
HP:0000016,19,Urinary retention
HP:0000017,20,Nocturia
HP:0000020,21,Urinary incontinence
HP:0000021,23,Megacystis
HP:0000022,25,Abnormality of male internal genitalia
HP:0000023,27,Inguinal hernia
HP:0000024,29,Prostatitis
HP:0000025,32,Functional abnormality of male internal genitalia
HP:0000027,34,Azoospermia
HP:0000028,36,Cryptorchidism
HP:0000029,38,Testicular atrophy
HP:0000031,39,Epididymitis
HP:0000032,41,Abnormality of male external genitalia
HP:0000033,43,"Ambiguous genitalia, male"
HP:0000034,45,Hydrocele testis
HP:0000035,37,Abnormality of the testis
HP:0000036,46,Abnormality of the penis
HP:0000037,47,Male pseudohermaphroditism
HP:0000039,48,Epispadias
HP:0000040,50,Long penis
HP:0000041,51,Chordee
HP:0000042,52,Absent external genitalia
HP:0000044,53,Hypogonadotrophic hypogonadism
HP:0000045,55,Abnormality of the scrotum
HP:0000046,56,Scrotal hypoplasia
HP:0000047,58,Hypospadias
HP:0000048,59,Bifid scrotum
HP:0000049,60,Shawl scrotum
HP:0000050,57,Hypoplastic male external genitalia
HP:0000051,62,Perineal hypospadias
HP:0000053,63,Macroorchidism
HP:0000054,65,Micropenis
HP:0000055,67,Abnormality of female external genitalia
HP:0000056,68,Abnormality of the clitoris
HP:0000058,69,Abnormality of the labia
HP:0000059,70,Hypoplastic labia majora
HP:0000060,73,Clitoral hypoplasia
HP:0000061,76,"Ambiguous genitalia, female"
HP:0000062,44,Ambiguous genitalia
HP:0000063,77,Fused labia minora
HP:0000064,79,Hypoplastic labia minora
HP:0000065,80,Labial hypertrophy
HP:0000066,71,Labial hypoplasia
HP:0000068,81,Urethral atresia
HP:0000069,83,Abnormality of the ureter
HP:0000070,85,Ureterocele
HP:0000071,86,Ureteral stenosis
HP:0000072,88,Hydroureter
HP:0000073,89,Ureteral duplication
HP:0000074,90,Ureteropelvic junction obstruction
HP:0000075,91,Renal duplication
HP:0000076,93,Vesicoureteral reflux
HP:0000077,94,Abnormality of the kidney
HP:0000078,95,Abnormality of the genital system
HP:0000079,97,Abnormality of the urinary system
HP:0000080,98,Abnormality of reproductive system physiology
HP:0000081,99,Duplicated collecting system
HP:0000083,101,Renal insufficiency
HP:0000085,103,Horseshoe kidney
HP:0000086,105,Ectopic kidney
HP:0000089,106,Renal hypoplasia
HP:0000090,108,Nephronophthisis
HP:0000091,110,Abnormality of the renal tubule
HP:0000092,112,Tubular atrophy
HP:0000093,113,Proteinuria
HP:0000095,115,Abnormality of renal glomerulus morphology
HP:0000096,117,Glomerulosclerosis
HP:0000097,118,Focal segmental glomerulosclerosis
HP:0000098,119,Tall stature
HP:0000099,120,Glomerulonephritis
HP:0000100,122,Nephrotic syndrome
HP:0000103,123,Polyuria
