Name,desc,Id
HP:0000001,All,0
HP:0000002,Abnormality of body height,1
HP:0000003,Multicystic kidney dysplasia,2
HP:0000005,Mode of inheritance,3
HP:0000006,Autosomal dominant inheritance,4
HP:0000007,Autosomal recessive inheritance,5
HP:0000008,Abnormal morphology of female internal genitalia,6
HP:0000009,Functional abnormality of the bladder,7
HP:0000010,Recurrent urinary tract infections,8
HP:0000011,Neurogenic bladder,9
HP:0000012,Urinary urgency,10
HP:0000013,Hypoplasia of the uterus,11
HP:0000014,Abnormality of the bladder,12
HP:0000015,Bladder diverticulum,13
HP:0000016,Urinary retention,14
HP:0000017,Nocturia,15
HP:0000019,Urinary hesitancy,16
HP:0000020,Urinary incontinence,17
HP:0000021,Megacystis,18
HP:0000022,Abnormality of male internal genitalia,19
HP:0000023,Inguinal hernia,20
HP:0000024,Prostatitis,21
HP:0000025,Functional abnormality of male internal genitalia,22
HP:0000026,Male hypogonadism,23
HP:0000027,Azoospermia,24
HP:0000028,Cryptorchidism,25
HP:0000029,Testicular atrophy,26
HP:0000030,Testicular gonadoblastoma,27
HP:0000031,Epididymitis,28
HP:0000032,Abnormality of male external genitalia,29
HP:0000033,"Ambiguous genitalia, male",30
HP:0000034,Hydrocele testis,31
HP:0000035,Abnormal testis morphology,32
HP:0000036,Abnormality of the penis,33
HP:0000037,Male pseudohermaphroditism,34
HP:0000039,Epispadias,35
HP:0000040,Long penis,36
HP:0000041,Chordee,37
HP:0000042,Absent external genitalia,38
HP:0000044,Hypogonadotropic hypogonadism,39
HP:0000045,Abnormality of the scrotum,40
HP:0000046,Scrotal hypoplasia,41
HP:0000047,Hypospadias,42
HP:0000048,Bifid scrotum,43
HP:0000049,Shawl scrotum,44
HP:0000050,Hypoplastic male external genitalia,45
HP:0000051,Perineal hypospadias,46
HP:0000052,"Urethral atresia, male",47
HP:0000053,Macroorchidism,48
HP:0000054,Micropenis,49
HP:0000055,Abnormality of female external genitalia,50
HP:0000056,Abnormality of the clitoris,51
HP:0000057,obsolete Clitoromegaly,52
HP:0000058,Abnormality of the labia,53
HP:0000059,Hypoplastic labia majora,54
HP:0000060,Clitoral hypoplasia,55
HP:0000061,"Ambiguous genitalia, female",56
HP:0000062,Ambiguous genitalia,57
HP:0000063,Fused labia minora,58
HP:0000064,Hypoplastic labia minora,59
HP:0000065,Labial hypertrophy,60
HP:0000066,Labial hypoplasia,61
HP:0000067,"Urethral atresia, female",62
HP:0000068,Urethral atresia,63
HP:0000069,Abnormality of the ureter,64
HP:0000070,Ureterocele,65
HP:0000071,Ureteral stenosis,66
HP:0000072,Hydroureter,67
HP:0000073,Ureteral duplication,68
HP:0000074,Ureteropelvic junction obstruction,69
HP:0000075,Renal duplication,70
HP:0000076,Vesicoureteral reflux,71
HP:0000077,Abnormality of the kidney,72
HP:0000078,Abnormality of the genital system,73
HP:0000079,Abnormality of the urinary system,74
HP:0000080,Abnormality of reproductive system physiology,75
HP:0000081,Duplicated collecting system,76
HP:0000083,Renal insufficiency,77
HP:0000085,Horseshoe kidney,78
HP:0000086,Ectopic kidney,79
HP:0000089,Renal hypoplasia,80
HP:0000090,Nephronophthisis,81
HP:0000091,Abnormal renal tubule morphology,82
HP:0000092,Renal tubular atrophy,83
HP:0000093,Proteinuria,84
HP:0000095,Abnormality of renal glomerulus morphology,85
HP:0000096,Glomerulosclerosis,86
HP:0000097,Focal segmental glomerulosclerosis,87
HP:0000098,Tall stature,88
HP:0000099,Glomerulonephritis,89
HP:0000100,Nephrotic syndrome,90
HP:0000103,Polyuria,91
HP:0000104,Renal agenesis,92
HP:0000105,Enlarged kidney,93
HP:0000107,Renal cyst,94
HP:0000108,Renal corticomedullary cysts,95
HP:0000110,Renal dysplasia,96
HP:0000111,Renal juxtaglomerular cell hypertrophy/hyperplasia,97
HP:0000112,Nephropathy,98
HP:0000113,Polycystic kidney dysplasia,99
HP:0000114,Proximal tubulopathy,100
HP:0000117,Renal phosphate wasting,101
HP:0000118,Phenotypic abnormality,102
HP:0000119,Abnormality of the genitourinary system,103
HP:0000121,Nephrocalcinosis,104
HP:0000122,Unilateral renal agenesis,105
HP:0000123,Nephritis,106
HP:0000124,Renal tubular dysfunction,107
HP:0000125,Pelvic kidney,108
HP:0000126,Hydronephrosis,109
HP:0000127,Renal salt wasting,110
HP:0000128,Renal potassium wasting,111
HP:0000130,Abnormality of the uterus,112
HP:0000131,Uterine leiomyoma,113
HP:0000132,Menorrhagia,114
HP:0000133,Gonadal dysgenesis,115
HP:0000134,Female hypogonadism,116
HP:0000135,Hypogonadism,117
HP:0000136,Bifid uterus,118
HP:0000137,Abnormality of the ovary,119
HP:0000138,Ovarian cyst,120
HP:0000139,Uterine prolapse,121
HP:0000140,Abnormality of the menstrual cycle,122
HP:0000141,Amenorrhea,123
HP:0000142,Abnormal vagina morphology,124
HP:0000143,Rectovaginal fistula,125
HP:0000144,Decreased fertility,126
HP:0000145,Transverse vaginal septum,127
HP:0000147,Polycystic ovaries,128
HP:0000148,Vaginal atresia,129
HP:0000149,Ovarian gonadoblastoma,130
HP:0000150,Gonadoblastoma,131
HP:0000151,Aplasia of the uterus,132
HP:0000152,Abnormality of head or neck,133
HP:0000153,Abnormality of the mouth,134
HP:0000154,Wide mouth,135
HP:0000155,Oral ulcer,136
HP:0000157,Abnormality of the tongue,137
HP:0000158,Macroglossia,138
HP:0000159,Abnormal lip morphology,139
HP:0000160,Narrow mouth,140
HP:0000161,Median cleft lip,141
HP:0000162,Glossoptosis,142
HP:0000163,Abnormal oral cavity morphology,143
HP:0000164,Abnormality of the dentition,144
HP:0000166,Severe periodontitis,145
HP:0000168,Abnormality of the gingiva,146
HP:0000169,Gingival fibromatosis,147
HP:0000171,Microglossia,148
HP:0000172,Abnormality of the uvula,149
HP:0000174,Abnormal palate morphology,150
HP:0000175,Cleft palate,151
HP:0000176,Submucous cleft hard palate,152
HP:0000177,Abnormality of upper lip,153
HP:0000178,Abnormality of lower lip,154
HP:0000179,Thick lower lip vermilion,155
HP:0000180,Lobulated tongue,156
HP:0000182,Movement abnormality of the tongue,157
HP:0000183,Difficulty in tongue movements,158
HP:0000185,Cleft soft palate,159
HP:0000187,Broad alveolar ridges,160
HP:0000188,Short upper lip,161
HP:0000189,Narrow palate,162
HP:0000190,Abnormal oral frenulum morphology,163
HP:0000191,Accessory oral frenulum,164
HP:0000193,Bifid uvula,165
HP:0000194,Open mouth,166
HP:0000196,Lower lip pit,167
HP:0000197,Abnormal parotid gland morphology,168
HP:0000198,Absence of Stensen duct,169
HP:0000199,Tongue nodules,170
HP:0000200,Short lingual frenulum,171
HP:0000201,Pierre-Robin sequence,172
HP:0000202,Oral cleft,173
HP:0000204,Cleft upper lip,174
HP:0000205,Pursed lips,175
HP:0000206,Glossitis,176
HP:0000207,Triangular mouth,177
HP:0000211,Trismus,178
HP:0000212,Gingival overgrowth,179
HP:0000214,Lip telangiectasia,180
HP:0000215,Thick upper lip vermilion,181
HP:0000216,Broad secondary alveolar ridge,182
HP:0000217,Xerostomia,183
HP:0000218,High palate,184
HP:0000219,Thin upper lip vermilion,185
HP:0000220,Velopharyngeal insufficiency,186
HP:0000221,Furrowed tongue,187
HP:0000222,Gingival hyperkeratosis,188
HP:0000223,Abnormality of taste sensation,189
HP:0000224,Hypogeusia,190
HP:0000225,Gingival bleeding,191
HP:0000227,Tongue telangiectasia,192
HP:0000228,Oral cavity telangiectasia,193
HP:0000230,Gingivitis,194
HP:0000232,Everted lower lip vermilion,195
HP:0000233,Thin vermilion border,196
HP:0000234,Abnormality of the head,197
HP:0000235,Abnormality of the fontanelles or cranial sutures,198
HP:0000236,Abnormality of the anterior fontanelle,199
HP:0000237,Small anterior fontanelle,200
HP:0000238,Hydrocephalus,201
HP:0000239,Large fontanelles,202
HP:0000240,Abnormality of skull size,203
HP:0000242,Parietal bossing,204
HP:0000243,Trigonocephaly,205
HP:0000244,Brachyturricephaly,206
HP:0000245,Abnormality of the paranasal sinuses,207
HP:0000246,Sinusitis,208
HP:0000248,Brachycephaly,209
HP:0000250,Dense calvaria,210
HP:0000252,Microcephaly,211
HP:0000253,Progressive microcephaly,212
HP:0000255,Acute sinusitis,213
HP:0000256,Macrocephaly,214
HP:0000260,Wide anterior fontanel,215
HP:0000262,Turricephaly,216
HP:0000263,Oxycephaly,217
HP:0000264,Abnormality of the mastoid,218
HP:0000265,Mastoiditis,219
HP:0000267,Cranial asymmetry,220
HP:0000268,Dolichocephaly,221
HP:0000269,Prominent occiput,222
HP:0000270,Delayed cranial suture closure,223
HP:0000271,Abnormality of the face,224
HP:0000272,Malar flattening,225
HP:0000273,Facial grimacing,226
HP:0000274,Small face,227
HP:0000275,Narrow face,228
HP:0000276,Long face,229
HP:0000277,Abnormality of the mandible,230
HP:0000278,Retrognathia,231
HP:0000280,Coarse facial features,232
HP:0000282,Facial edema,233
HP:0000283,Broad face,234
HP:0000284,obsolete Abnormality of the ocular region,235
HP:0000286,Epicanthus,236
HP:0000287,Increased facial adipose tissue,237
HP:0000288,Abnormality of the philtrum,238
HP:0000289,Broad philtrum,239
HP:0000290,Abnormality of the forehead,240
HP:0000291,Abnormality of facial adipose tissue,241
HP:0000292,Loss of facial adipose tissue,242
HP:0000293,Full cheeks,243
HP:0000294,Low anterior hairline,244
HP:0000295,Doll-like facies,245
HP:0000297,Facial hypotonia,246
HP:0000298,Mask-like facies,247
HP:0000300,Oval face,248
HP:0000301,Abnormality of facial musculature,249
HP:0000303,Mandibular prognathia,250
HP:0000306,Abnormality of the chin,251
HP:0000307,Pointed chin,252
HP:0000308,Microretrognathia,253
HP:0000309,Abnormality of the midface,254
HP:0000311,Round face,255
HP:0000315,Abnormality of the orbital region,256
HP:0000316,Hypertelorism,257
HP:0000317,Facial myokymia,258
HP:0000319,Smooth philtrum,259
HP:0000320,Bird-like facies,260
HP:0000321,Square face,261
HP:0000322,Short philtrum,262
HP:0000324,Facial asymmetry,263
HP:0000325,Triangular face,264
HP:0000326,Abnormality of the maxilla,265
HP:0000327,Hypoplasia of the maxilla,266
HP:0000329,Facial hemangioma,267
HP:0000331,Short chin,268
HP:0000336,Prominent supraorbital ridges,269
HP:0000337,Broad forehead,270
HP:0000338,Hypomimic face,271
HP:0000339,Pugilistic facies,272
HP:0000340,Sloping forehead,273
HP:0000341,Narrow forehead,274
HP:0000343,Long philtrum,275
HP:0000346,Whistling appearance,276
HP:0000347,Micrognathia,277
HP:0000348,High forehead,278
HP:0000349,Widow's peak,279
HP:0000350,Small forehead,280
HP:0000356,Abnormality of the outer ear,281
HP:0000357,Abnormal location of ears,282
HP:0000358,Posteriorly rotated ears,283
HP:0000359,Abnormality of the inner ear,284
HP:0000360,Tinnitus,285
HP:0000361,obsolete Pulsatile tinnitus (tympanic paraganglioma),286
HP:0000362,Otosclerosis,287
HP:0000363,Abnormality of earlobe,288
HP:0000364,Hearing abnormality,289
HP:0000365,Hearing impairment,290
HP:0000366,Abnormality of the nose,291
HP:0000368,"Low-set, posteriorly rotated ears",292
HP:0000369,Low-set ears,293
HP:0000370,Abnormality of the middle ear,294
HP:0000371,Acute otitis media,295
HP:0000372,Abnormality of the auditory canal,296
HP:0000375,Abnormal cochlea morphology,297
HP:0000376,Incomplete partition of the cochlea type II,298
HP:0000377,Abnormality of the pinna,299
HP:0000378,Cupped ear,300
HP:0000381,Stapes ankylosis,301
HP:0000383,Abnormality of periauricular region,302
HP:0000384,Preauricular skin tag,303
HP:0000385,Small earlobe,304
HP:0000387,Absent earlobe,305
HP:0000388,Otitis media,306
HP:0000389,Chronic otitis media,307
HP:0000391,Thickened helices,308
HP:0000394,Lop ear,309
HP:0000395,Prominent antihelix,310
HP:0000396,Overfolded helix,311
HP:0000399,Prelingual sensorineural hearing impairment,312
HP:0000400,Macrotia,313
HP:0000402,Stenosis of the external auditory canal,314
HP:0000403,Recurrent otitis media,315
HP:0000405,Conductive hearing impairment,316
HP:0000407,Sensorineural hearing impairment,317
HP:0000408,Progressive sensorineural hearing impairment,318
HP:0000410,Mixed hearing impairment,319
HP:0000411,Protruding ear,320
HP:0000413,Atresia of the external auditory canal,321
HP:0000414,Bulbous nose,322
HP:0000415,Abnormality of the choanae,323
HP:0000417,Slender nose,324
HP:0000418,Narrow nasal ridge,325
HP:0000419,Abnormality of the nasal septum,326
HP:0000420,Short nasal septum,327
HP:0000421,Epistaxis,328
HP:0000422,Abnormality of the nasal bridge,329
HP:0000426,Prominent nasal bridge,330
HP:0000429,Abnormality of the nasal alae,331
HP:0000430,Underdeveloped nasal alae,332
HP:0000431,Wide nasal bridge,333
HP:0000433,Abnormality of the nasal mucosa,334
HP:0000434,Nasal mucosa telangiectasia,335
